Product ID,Week,Demand,Category,Price
P0001,2021-12-27,1057,Electronics,39.486000000000004
P0001,2022-01-03,4476,Groceries,38.57
P0001,2022-01-10,4143,Groceries,37.767999999999994
P0001,2022-01-17,3818,Groceries,37.40228571428571
P0001,2022-01-24,3952,Groceries,36.288
P0001,2022-01-31,4071,Groceries,37.953714285714284
P0001,2022-02-07,3632,Groceries,39.27657142857143
P0001,2022-02-14,4121,Groceries,36.96171428571429
P0001,2022-02-21,3919,Groceries,37.356
P0001,2022-02-28,5070,Groceries,37.23171428571428
P0001,2022-03-07,4176,Groceries,37.12114285714286
P0001,2022-03-14,4197,Groceries,40.91
P0001,2022-03-21,4366,Groceries,39.49885714285714
P0001,2022-03-28,3991,Groceries,38.348285714285716
P0001,2022-04-04,3881,Groceries,37.28514285714286
P0001,2022-04-11,4533,Groceries,40.646571428571434
P0001,2022-04-18,3463,Groceries,36.112
P0001,2022-04-25,2577,Groceries,32.60171428571429
P0001,2022-05-02,2311,Groceries,34.03657142857143
P0001,2022-05-09,2465,Groceries,31.255142857142857
P0001,2022-05-16,2525,Groceries,32.53628571428571
P0001,2022-05-23,3211,Groceries,35.44771428571429
P0001,2022-05-30,4243,Groceries,38.38742857142857
P0001,2022-06-06,4321,Groceries,39.28028571428571
P0001,2022-06-13,4487,Groceries,37.984857142857145
P0001,2022-06-20,4536,Groceries,38.82828571428571
P0001,2022-06-27,3074,Groceries,35.06914285714286
P0001,2022-07-04,1747,Groceries,30.97285714285714
P0001,2022-07-11,2536,Groceries,30.606
P0001,2022-07-18,2397,Groceries,32.20942857142857
P0001,2022-07-25,4234,Groceries,39.96714285714285
P0001,2022-08-01,4239,Groceries,39.931714285714285
P0001,2022-08-08,4333,Groceries,39.666
P0001,2022-08-15,4563,Groceries,39.504285714285714
P0001,2022-08-22,5149,Groceries,38.302
P0001,2022-08-29,3974,Groceries,39.02942857142857
P0001,2022-09-05,3836,Groceries,35.92257142857143
P0001,2022-09-12,4095,Groceries,38.81171428571429
P0001,2022-09-19,4176,Groceries,37.42314285714286
P0001,2022-09-26,4013,Groceries,39.186571428571426
P0001,2022-10-03,4146,Groceries,36.70028571428571
P0001,2022-10-10,3932,Groceries,36.17714285714286
P0001,2022-10-17,3791,Groceries,38.308
P0001,2022-10-24,3963,Groceries,37.40285714285714
P0001,2022-10-31,3795,Groceries,40.23771428571428
P0001,2022-11-07,4492,Groceries,37.98171428571429
P0001,2022-11-14,3860,Groceries,37.07685714285714
P0001,2022-11-21,3543,Groceries,37.222
P0001,2022-11-28,3593,Groceries,37.61457142857143
P0001,2022-12-05,4620,Groceries,38.465714285714284
P0001,2022-12-12,4012,Groceries,38.36914285714286
P0001,2022-12-19,4250,Groceries,37.55657142857143
P0001,2022-12-26,4398,Groceries,40.23885714285715
P0001,2023-01-02,4156,Groceries,38.93685714285714
P0001,2023-01-09,4008,Groceries,37.77771428571429
P0001,2023-01-16,4110,Groceries,38.37428571428571
P0001,2023-01-23,3789,Groceries,36.65714285714286
P0001,2023-01-30,2212,Groceries,32.05885714285714
P0001,2023-02-06,2476,Groceries,32.23542857142857
P0001,2023-02-13,2451,Groceries,32.38742857142857
P0001,2023-02-20,2692,Groceries,32.94828571428572
P0001,2023-02-27,3882,Groceries,35.53828571428571
P0001,2023-03-06,4005,Groceries,39.07485714285714
P0001,2023-03-13,3885,Groceries,37.85657142857143
P0001,2023-03-20,4376,Groceries,36.98542857142857
P0001,2023-03-27,3794,Groceries,37.36314285714286
P0001,2023-04-03,4008,Groceries,37.07457142857143
P0001,2023-04-10,2772,Groceries,33.552571428571426
P0001,2023-04-17,2558,Groceries,32.291428571428575
P0001,2023-04-24,2947,Groceries,33.23657142857143
P0001,2023-05-01,3069,Groceries,35.44571428571428
P0001,2023-05-08,3394,Groceries,34.126285714285714
P0001,2023-05-15,4176,Groceries,37.39628571428571
P0001,2023-05-22,4086,Groceries,38.58971428571429
P0001,2023-05-29,4255,Groceries,39.18371428571429
P0001,2023-06-05,4725,Groceries,41.10285714285714
P0001,2023-06-12,4939,Groceries,41.399142857142856
P0001,2023-06-19,4855,Groceries,41.556285714285714
P0001,2023-06-26,4282,Groceries,39.04914285714286
P0001,2023-07-03,4722,Groceries,40.48742857142857
P0001,2023-07-10,3976,Groceries,38.40685714285714
P0001,2023-07-17,4144,Groceries,37.586
P0001,2023-07-24,4970,Groceries,39.44085714285715
P0001,2023-07-31,4556,Groceries,38.498000000000005
P0001,2023-08-07,4817,Groceries,40.128571428571426
P0001,2023-08-14,4260,Groceries,40.931999999999995
P0001,2023-08-21,4270,Groceries,37.33314285714286
P0001,2023-08-28,4516,Groceries,40.463142857142856
P0001,2023-09-04,3664,Groceries,37.66914285714286
P0001,2023-09-11,4231,Groceries,37.49914285714286
P0001,2023-09-18,4172,Groceries,39.705714285714286
P0001,2023-09-25,3734,Groceries,36.797714285714285
P0001,2023-10-02,3367,Groceries,36.212
P0001,2023-10-09,2125,Groceries,31.536
P0001,2023-10-16,2480,Groceries,32.140571428571434
P0001,2023-10-23,4191,Groceries,38.21371428571429
P0001,2023-10-30,4500,Groceries,40.736285714285714
P0001,2023-11-06,4093,Groceries,39.38285714285715
P0001,2023-11-13,4084,Groceries,36.74057142857143
P0001,2023-11-20,3452,Groceries,35.93857142857143
P0001,2023-11-27,3776,Groceries,39.101142857142854
P0001,2023-12-04,4277,Groceries,39.032000000000004
P0001,2023-12-11,3649,Groceries,36.099714285714285
P0001,2023-12-18,4192,Groceries,39.06057142857143
P0001,2023-12-25,3157,Groceries,34.99657142857143
P0001,2024-01-01,2279,Groceries,31.860571428571426
P0001,2024-01-08,3821,Groceries,35.541428571428575
P0001,2024-01-15,3745,Groceries,37.862
P0001,2024-01-22,4031,Groceries,38.600857142857144
P0001,2024-01-29,991,Groceries,36.915
P0002,2021-12-27,1362,Groceries,45.784
P0002,2022-01-03,4041,Groceries,43.97085714285714
P0002,2022-01-10,4593,Groceries,44.892857142857146
P0002,2022-01-17,4600,Groceries,43.71714285714285
P0002,2022-01-24,3741,Groceries,43.26771428571429
P0002,2022-01-31,4476,Groceries,44.07857142857143
P0002,2022-02-07,5555,Groceries,49.376285714285714
P0002,2022-02-14,4412,Groceries,45.52857142857143
P0002,2022-02-21,4104,Groceries,44.229142857142854
P0002,2022-02-28,4161,Groceries,43.123714285714286
P0002,2022-03-07,4649,Groceries,43.69714285714286
P0002,2022-03-14,4107,Groceries,42.45485714285714
P0002,2022-03-21,4359,Groceries,44.18514285714286
P0002,2022-03-28,4250,Groceries,44.39628571428571
P0002,2022-04-04,4277,Groceries,43.56371428571428
P0002,2022-04-11,4206,Groceries,44.17457142857143
P0002,2022-04-18,3926,Groceries,42.836571428571425
P0002,2022-04-25,2676,Groceries,39.294
P0002,2022-05-02,2770,Groceries,39.25885714285714
P0002,2022-05-09,2596,Groceries,38.650285714285715
P0002,2022-05-16,2795,Groceries,39.13428571428572
P0002,2022-05-23,3572,Groceries,42.088857142857144
P0002,2022-05-30,4392,Groceries,42.70514285714286
